Term,Div,Subj,Numb,Sec,Crn,Course,Sts,Typx,Typ,Title,Instr Name,Uts,G,Apr,Lk Id,Prt Ind,Grd Ind,Prior Enrl,Proj Enrl,Enrl,Max Enrl,WL Max,Wait Listed,CW,Ex Cd,Xlst Grp,Fy,Xlst Max,Bld,Rm,Days,Times,Crs Attr,Term Desc,Instructor,Beg Time,End Time,Prep Hr,Cont Hr,Hours per Week,Exam Desc,Link ,Stvsubj Desc
201490,INTR,AMST,104,A,92181,AMST 0104 A,A,LCT,LCT,Please register via FMMC 0104A,"Mittell, Jason S",1,,,,,,0,0,0,0,0,0,,3,B8,,30,AXN,232,TR,01:30 PM - 02:45 PM,"NOR, SOC",Fall 2014,"Mittell, J.",1330,1445,,1,2.5,Take Home Exam/Final Paper,,American Studies
201490,INTR,AMST,104,A,92181,AMST 0104 A,A,LCT,SCR,Please register via FMMC 0104A,"Mittell, Jason S",1,,,,,,0,0,0,0,0,0,,3,B8,,30,AXN,232,T,07:30 PM - 10:25 PM,"NOR, SOC",Fall 2014,"Mittell, J.",1930,2225,,1,2.91,Take Home Exam/Final Paper,,American Studies
201490,INTR,AMST,200,A,92658,AMST 0200 A,A,LCT,LCT,Global Cities of the U.S.,"Joo, Rachael M",1,,,,,,0,20,18,20,0,0,,3,,,,AXN,220,W,07:30 PM - 10:25 PM,"CMP, SOC",Fall 2014,"Joo, R.",1930,2225,1,1,2.91,Take Home Exam/Final Paper,,American Studies
201490,HUMN,AMST,202,A,91767,AMST 0202 A,A,LCT,LCT,Please register via HIST 0202A,"McWilliams, John P",1,,,,,,0,0,0,0,0,0,,4,I3,,20,MNR,222,MWF,01:45 PM - 02:35 PM,"HIS, NOR",Fall 2014,"McWilliams, J.",1345,1435,,1,2.5,"No Exam, No Paper",,American Studies
201490,INTR,AMST,204,A,92552,AMST 0204 A,A,LCT,LCT,Black Comic Cultures,"Finley, Jessyka N",1,,,,,,0,25,21,25,0,0,,3,,,,AXN,103,TR,03:00 PM - 04:15 PM,"NOR, SOC",Fall 2014,"Finley, J.",1500,1615,1,3,2.5,Take Home Exam/Final Paper,,American Studies
201490,INTR,AMST,209,A,91017,AMST 0209 A,A,LCT,LCT,Am. Lit. & Cult: origins-1830,"Newbury, Michael R",1,,,,,,28,25,25,25,0,0,,3,A9,,25,MNR,320,MW,12:15 PM - 01:30 PM,"LIT, NOR",Fall 2014,"Newbury, M.",1215,1330,1,3,2.5,Take Home Exam/Final Paper,,American Studies
201490,INTR,AMST,214,A,92623,AMST 0214 A,A,LCT,LCT,Capturing Nature,"Foutch, Ellery E",1,,,,,,0,15,15,15,0,0,CW,3,,,,MNR,401,MW,02:50 PM - 04:05 PM,"ART, CW, NOR",Fall 2014,"Foutch, E.",1450,1605,1,3,2.5,Take Home Exam/Final Paper,,American Studies
201490,INTR,AMST,237,A,92645,AMST 0237 A,A,LCT,LCT,Please register via ENAM 0237A,"Henry, Alvin J",1,,,,,,0,0,0,0,0,0,,4,X1,,20,OCH,206,MWF,09:05 AM - 09:55 AM,"HIS, LIT, NOR",Fall 2014,"Henry, A.",905,955,,1,2.5,"No Exam, No Paper",,American Studies
201490,INTR,AMST,241,A,92647,AMST 0241 A,A,LCT,LCT,Please register via GSFS 0241A,"Koch-Rein, Anson",1,,,,,,0,0,0,0,0,0,,3,X2,,30,MNR,222,MW,02:50 PM - 04:05 PM,"CMP, HIS, NOR, SOC",Fall 2014,"Koch-Rein, A.",1450,1605,,1,2.5,Take Home Exam/Final Paper,,American Studies
201490,INTR,AMST,243,A,92624,AMST 0243 A,A,LCT,LCT,American Bodies,"Foutch, Ellery E",1,,,,,,0,30,28,30,0,0,,3,,,,MCA,125,MWF,10:10 AM - 11:00 AM,NOR,Fall 2014,"Foutch, E.",1010,1100,1,3,2.5,Take Home Exam/Final Paper,,American Studies
